,item,codigo_seg,empresa,ubicacion,equipo,codigo,fecha_inic,fecha_fin,descripcion,mw_indispo,indispo,tipo_mantto,programacion
4581,4582,C183062023053012242477A,ENEL GREEN POWER PERU S.A.C,CENTRAL EOLICA WAYRA I,CENTRAL,18306,2024-02-22 05:00:00,2024-02-22 17:00:00,MANTENIMIENTO DE EQUIPOS AUXILIARES - TRANSFORMADORES Y CELDAS DE MEDIA TENSION - CENTRO DE TRANSFORMADOR EXTERNO DE 42 AEROGENERADORES.,80.0,F/S,NO,MANTENIMIENTO PREVENTIVO
4582,4583,C183062023053012242477A,ENEL GREEN POWER PERU S.A.C,CENTRAL EOLICA WAYRA I,CENTRAL,18306,2024-02-23 05:00:00,2024-02-23 17:00:00,MANTENIMIENTO DE EQUIPOS AUXILIARES - TRANSFORMADORES Y CELDAS DE MEDIA TENSION - CENTRO DE TRANSFORMADOR EXTERNO DE 42 AEROGENERADORES.,80.0,F/S,NO,MANTENIMIENTO PREVENTIVO
4626,4627,C144072023053012242477A,ENERGÍA EÓLICA S.A.,PARQUE EOLICO CUPISNIQUE,CENTRAL,14407,2023-07-17 07:00:00,2023-07-17 18:00:00,Central fuera de servicio por mantenimientos de celda de media tensión y trabajos en línea L-2170.,80.0,F/S,NO,MANTENIMIENTO PREVENTIVO
4627,4628,C144072023053012242477A,ENERGÍA EÓLICA S.A.,PARQUE EOLICO CUPISNIQUE,CENTRAL,14407,2023-07-18 07:00:00,2023-07-18 18:00:00,Central fuera de servicio por mantenimientos de celda de media tensión y trabajos en línea L-2170.,80.0,F/S,NO,MANTENIMIENTO PREVENTIVO
4628,4629,C144072023053012242477A,ENERGÍA EÓLICA S.A.,PARQUE EOLICO CUPISNIQUE,CENTRAL,14407,2023-07-19 07:00:00,2023-07-19 18:00:00,Central fuera de servicio por mantenimientos de celda de media tensión y trabajos en línea L-2170.,80.0,F/S,NO,MANTENIMIENTO PREVENTIVO
4629,4630,C144072023053012242477A,ENERGÍA EÓLICA S.A.,PARQUE EOLICO CUPISNIQUE,CENTRAL,14407,2023-07-20 07:00:00,2023-07-20 18:00:00,Central fuera de servicio por mantenimientos de celda de media tensión y trabajos en línea L-2170.,80.0,F/S,NO,MANTENIMIENTO PREVENTIVO
4630,4631,C144072023053012242985A,ENERGÍA EÓLICA S.A.,PARQUE EOLICO CUPISNIQUE,CENTRAL,14407,2023-07-21 07:00:00,2023-07-21 18:00:00,Central fuera de servicio por mantenimiento de celda de media tensión y trabajos en línea L-2170.,80.0,F/S,NO,MANTENIMIENTO PREVENTIVO
4631,4632,C144262023053012242477A,ENERGÍA EÓLICA S.A.,PARQUE EOLICO TALARA,CENTRAL,14426,2024-03-19 06:00:00,2024-03-19 17:00:00,"MANTENIMIENTO ELECTROMECÁNICO DE EQUIPOS DE PATIO, PRUEBAS ELÉCTRICAS DE EQUIPOS, PRUEBAS DE TRANSFORMADOR, INSPECCIÓN Y TRATAMIENTO DE PUNTOS DE CORROSIÓN DE ESTRUCTURAS.",30.6,F/S,NO,MANTENIMIENTO PREVENTIVO
4632,4633,C144262023053012242477A,ENERGÍA EÓLICA S.A.,PARQUE EOLICO TALARA,CENTRAL,14426,2024-03-20 06:00:00,2024-03-20 17:00:00,"MANTENIMIENTO ELECTROMECÁNICO DE EQUIPOS DE PATIO, PRUEBAS ELÉCTRICAS DE EQUIPOS, PRUEBAS DE TRANSFORMADOR, INSPECCIÓN Y TRATAMIENTO DE PUNTOS DE CORROSIÓN DE ESTRUCTURAS.",30.6,F/S,NO,MANTENIMIENTO PREVENTIVO
4633,4634,C144262023053012242477A,ENERGÍA EÓLICA S.A.,PARQUE EOLICO TALARA,CENTRAL,14426,2024-03-21 06:00:00,2024-03-21 17:00:00,"MANTENIMIENTO ELECTROMECÁNICO DE EQUIPOS DE PATIO, PRUEBAS ELÉCTRICAS DE EQUIPOS, PRUEBAS DE TRANSFORMADOR, INSPECCIÓN Y TRATAMIENTO DE PUNTOS DE CORROSIÓN DE ESTRUCTURAS.",30.6,F/S,NO,MANTENIMIENTO PREVENTIVO
