unit,date_init,date_end,value_replace
Platanal,"(2023,9,24,8,0)","(2023,9,24,16,0)",100
Platanal,"(2024,2,16,5,0)","(2024,2,16,19,0)",100
Platanal,"(2024,2,23,5,0)","(2024,2,23,19,0)",100
Platanal,"(2024,3,18,5,0)","(2024,3,18,19,0)",100
Platanal,"(2024,3,22,5,0)","(2024,3,22,19,0)",100
Platanal,"(2023,12,15,23,0)","(2023,12,16,0,0)",50.0103613
Platanal,"(2023,12,16,0,0)","(2023,12,16,17,0)",50.0103613
Platanal,"(2024,2,16,5,0)","(2024,2,16,19,0)",50.0103613
Platanal,"(2024,2,23,5,0)","(2024,2,23,19,0)",50.0103613
Platanal,"(2024,6,15,0,0)","(2024,6,16,0,0)",50.0103613
Platanal,"(2024,6,16,0,0)","(2024,6,17,0,0)",50.0103613
Platanal,"(2024,6,17,0,0)","(2024,6,18,0,0)",50.0103613
Platanal,"(2024,6,18,0,0)","(2024,6,19,0,0)",50.0103613
Platanal,"(2024,6,19,0,0)","(2024,6,19,18,0)",50.0103613
Platanal,"(2023,12,16,23,0)","(2023,12,17,0,0)",49.9896387
Platanal,"(2023,12,17,0,0)","(2023,12,17,17,0)",49.9896387
Platanal,"(2024,3,18,5,0)","(2024,3,18,19,0)",49.9896387
Platanal,"(2024,3,22,5,0)","(2024,3,22,19,0)",49.9896387
Platanal,"(2024,6,20,0,0)","(2024,6,21,0,0)",49.9896387
Platanal,"(2024,6,21,0,0)","(2024,6,22,0,0)",49.9896387
Platanal,"(2024,6,22,0,0)","(2024,6,23,0,0)",49.9896387
Platanal,"(2024,6,23,0,0)","(2024,6,24,0,0)",49.9896387
Platanal,"(2024,6,24,0,0)","(2024,6,24,18,0)",49.9896387
Maranon,"(2023,8,6,6,0)","(2023,8,6,18,0)",100
Maranon,"(2024,4,7,6,0)","(2024,4,7,18,0)",100
Maranon,"(2023,8,4,6,0)","(2023,8,4,18,0)",33.23795181
Maranon,"(2023,9,18,6,0)","(2023,9,19,0,0)",33.23795181
Maranon,"(2023,9,19,0,0)","(2023,9,20,0,0)",33.23795181
Maranon,"(2023,9,20,0,0)","(2023,9,21,0,0)",33.23795181
Maranon,"(2023,9,21,0,0)","(2023,9,22,0,0)",33.23795181
Maranon,"(2023,9,22,0,0)","(2023,9,23,0,0)",33.23795181
Maranon,"(2023,9,23,0,0)","(2023,9,24,0,0)",33.23795181
Maranon,"(2023,9,24,0,0)","(2023,9,25,0,0)",33.23795181
Maranon,"(2023,9,25,0,0)","(2023,9,26,0,0)",33.23795181
Maranon,"(2023,9,26,0,0)","(2023,9,27,0,0)",33.23795181
Maranon,"(2023,9,27,0,0)","(2023,9,27,18,0)",33.23795181
Maranon,"(2023,12,9,6,0)","(2023,12,9,18,0)",33.23795181
Maranon,"(2024,1,1,0,0)","(2024,1,2,0,0)",33.23795181
Maranon,"(2024,1,2,0,0)","(2024,1,3,0,0)",33.23795181
Maranon,"(2024,1,3,0,0)","(2024,1,4,0,0)",33.23795181
Maranon,"(2024,1,4,0,0)","(2024,1,5,0,0)",33.23795181
Maranon,"(2024,1,5,0,0)","(2024,1,6,0,0)",33.23795181
Maranon,"(2024,1,6,0,0)","(2024,1,7,0,0)",33.23795181
Maranon,"(2024,1,7,0,0)","(2024,1,8,0,0)",33.23795181
Maranon,"(2024,1,8,0,0)","(2024,1,9,0,0)",33.23795181
Maranon,"(2024,1,9,0,0)","(2024,1,10,0,0)",33.23795181
Maranon,"(2024,1,10,0,0)","(2024,1,11,0,0)",33.23795181
Maranon,"(2024,1,11,0,0)","(2024,1,12,0,0)",33.23795181
Maranon,"(2024,1,12,0,0)","(2024,1,13,0,0)",33.23795181
Maranon,"(2024,1,13,0,0)","(2024,1,14,0,0)",33.23795181
Maranon,"(2024,1,14,0,0)","(2024,1,15,0,0)",33.23795181
Maranon,"(2024,1,15,0,0)","(2024,1,16,0,0)",33.23795181
Maranon,"(2024,1,16,0,0)","(2024,1,17,0,0)",33.23795181
Maranon,"(2024,1,17,0,0)","(2024,1,18,0,0)",33.23795181
Maranon,"(2024,1,18,0,0)","(2024,1,19,0,0)",33.23795181
Maranon,"(2024,1,19,0,0)","(2024,1,20,0,0)",33.23795181
Maranon,"(2024,1,20,0,0)","(2024,1,21,0,0)",33.23795181
Maranon,"(2024,1,21,0,0)","(2024,1,22,0,0)",33.23795181
Maranon,"(2024,1,22,0,0)","(2024,1,23,0,0)",33.23795181
Maranon,"(2024,1,23,0,0)","(2024,1,24,0,0)",33.23795181
Maranon,"(2024,1,24,0,0)","(2024,1,25,0,0)",33.23795181
Maranon,"(2024,1,25,0,0)","(2024,1,26,0,0)",33.23795181
Maranon,"(2024,1,26,0,0)","(2024,1,27,0,0)",33.23795181
Maranon,"(2024,1,27,0,0)","(2024,1,28,0,0)",33.23795181
Maranon,"(2024,1,28,0,0)","(2024,1,29,0,0)",33.23795181
Maranon,"(2024,1,29,0,0)","(2024,1,30,0,0)",33.23795181
Maranon,"(2024,1,30,0,0)","(2024,1,31,0,0)",33.23795181
Maranon,"(2024,1,31,0,0)","(2024,1,31,23,0)",33.23795181
Maranon,"(2024,4,5,6,0)","(2024,4,5,18,0)",33.23795181
Maranon,"(2023,8,5,6,0)","(2023,8,5,18,0)",33.37349398
Maranon,"(2023,12,8,6,0)","(2023,12,8,18,0)",33.37349398
Maranon,"(2024,3,1,0,0)","(2024,3,2,0,0)",33.37349398
Maranon,"(2024,3,2,0,0)","(2024,3,3,0,0)",33.37349398
Maranon,"(2024,3,3,0,0)","(2024,3,4,0,0)",33.37349398
Maranon,"(2024,3,4,0,0)","(2024,3,5,0,0)",33.37349398
Maranon,"(2024,3,5,0,0)","(2024,3,6,0,0)",33.37349398
Maranon,"(2024,3,6,0,0)","(2024,3,7,0,0)",33.37349398
Maranon,"(2024,3,7,0,0)","(2024,3,8,0,0)",33.37349398
Maranon,"(2024,3,8,0,0)","(2024,3,9,0,0)",33.37349398
Maranon,"(2024,3,9,0,0)","(2024,3,10,0,0)",33.37349398
Maranon,"(2024,3,10,0,0)","(2024,3,11,0,0)",33.37349398
Maranon,"(2024,3,11,0,0)","(2024,3,12,0,0)",33.37349398
Maranon,"(2024,3,12,0,0)","(2024,3,13,0,0)",33.37349398
Maranon,"(2024,3,13,0,0)","(2024,3,14,0,0)",33.37349398
Maranon,"(2024,3,14,0,0)","(2024,3,15,0,0)",33.37349398
Maranon,"(2024,3,15,0,0)","(2024,3,16,0,0)",33.37349398
Maranon,"(2024,3,16,0,0)","(2024,3,17,0,0)",33.37349398
Maranon,"(2024,3,17,0,0)","(2024,3,18,0,0)",33.37349398
Maranon,"(2024,3,18,0,0)","(2024,3,19,0,0)",33.37349398
Maranon,"(2024,3,19,0,0)","(2024,3,20,0,0)",33.37349398
Maranon,"(2024,3,20,0,0)","(2024,3,21,0,0)",33.37349398
Maranon,"(2024,3,21,0,0)","(2024,3,22,0,0)",33.37349398
Maranon,"(2024,3,22,0,0)","(2024,3,23,0,0)",33.37349398
Maranon,"(2024,3,23,0,0)","(2024,3,24,0,0)",33.37349398
Maranon,"(2024,3,24,0,0)","(2024,3,25,0,0)",33.37349398
Maranon,"(2024,3,25,0,0)","(2024,3,26,0,0)",33.37349398
Maranon,"(2024,3,26,0,0)","(2024,3,27,0,0)",33.37349398
Maranon,"(2024,3,27,0,0)","(2024,3,28,0,0)",33.37349398
Maranon,"(2024,3,28,0,0)","(2024,3,29,0,0)",33.37349398
Maranon,"(2024,3,29,0,0)","(2024,3,30,0,0)",33.37349398
Maranon,"(2024,3,30,0,0)","(2024,3,31,0,0)",33.37349398
Maranon,"(2024,3,31,0,0)","(2024,3,31,23,0)",33.37349398
Maranon,"(2024,4,6,6,0)","(2024,4,6,18,0)",33.37349398
Maranon,"(2023,8,7,6,0)","(2023,8,7,18,0)",33.38855422
Maranon,"(2023,12,10,6,0)","(2023,12,10,18,0)",33.38855422
Maranon,"(2024,2,1,0,0)","(2024,2,2,0,0)",33.38855422
Maranon,"(2024,2,2,0,0)","(2024,2,3,0,0)",33.38855422
Maranon,"(2024,2,3,0,0)","(2024,2,4,0,0)",33.38855422
Maranon,"(2024,2,4,0,0)","(2024,2,5,0,0)",33.38855422
Maranon,"(2024,2,5,0,0)","(2024,2,6,0,0)",33.38855422
Maranon,"(2024,2,6,0,0)","(2024,2,7,0,0)",33.38855422
Maranon,"(2024,2,7,0,0)","(2024,2,8,0,0)",33.38855422
Maranon,"(2024,2,8,0,0)","(2024,2,9,0,0)",33.38855422
Maranon,"(2024,2,9,0,0)","(2024,2,10,0,0)",33.38855422
Maranon,"(2024,2,10,0,0)","(2024,2,11,0,0)",33.38855422
Maranon,"(2024,2,11,0,0)","(2024,2,12,0,0)",33.38855422
Maranon,"(2024,2,12,0,0)","(2024,2,13,0,0)",33.38855422
Maranon,"(2024,2,13,0,0)","(2024,2,14,0,0)",33.38855422
Maranon,"(2024,2,14,0,0)","(2024,2,15,0,0)",33.38855422
Maranon,"(2024,2,15,0,0)","(2024,2,16,0,0)",33.38855422
Maranon,"(2024,2,16,0,0)","(2024,2,17,0,0)",33.38855422
Maranon,"(2024,2,17,0,0)","(2024,2,18,0,0)",33.38855422
Maranon,"(2024,2,18,0,0)","(2024,2,19,0,0)",33.38855422
Maranon,"(2024,2,19,0,0)","(2024,2,20,0,0)",33.38855422
Maranon,"(2024,2,20,0,0)","(2024,2,21,0,0)",33.38855422
Maranon,"(2024,2,21,0,0)","(2024,2,22,0,0)",33.38855422
Maranon,"(2024,2,22,0,0)","(2024,2,23,0,0)",33.38855422
Maranon,"(2024,2,23,0,0)","(2024,2,24,0,0)",33.38855422
Maranon,"(2024,2,24,0,0)","(2024,2,25,0,0)",33.38855422
Maranon,"(2024,2,25,0,0)","(2024,2,26,0,0)",33.38855422
Maranon,"(2024,2,26,0,0)","(2024,2,27,0,0)",33.38855422
Maranon,"(2024,2,27,0,0)","(2024,2,28,0,0)",33.38855422
Maranon,"(2024,2,28,0,0)","(2024,2,29,0,0)",33.38855422
Maranon,"(2024,2,29,0,0)","(2024,2,29,23,0)",33.38855422
Maranon,"(2024,4,8,6,0)","(2024,4,8,18,0)",33.38855422
Chimay,"(2023,7,1,0,0)","(2023,7,2,0,0)",100
Chimay,"(2023,7,2,0,0)","(2023,7,3,0,0)",100
Chimay,"(2023,7,3,0,0)","(2023,7,4,0,0)",100
Chimay,"(2023,7,4,0,0)","(2023,7,5,0,0)",100
Chimay,"(2023,7,5,0,0)","(2023,7,6,0,0)",100
Chimay,"(2023,7,6,0,0)","(2023,7,7,0,0)",100
Chimay,"(2023,7,7,0,0)","(2023,7,8,0,0)",100
Chimay,"(2023,9,23,7,0)","(2023,9,23,17,0)",100
Chimay,"(2023,9,24,7,0)","(2023,9,24,17,0)",100
Chimay,"(2023,7,1,0,0)","(2023,7,2,0,0)",50.966247
Chimay,"(2023,7,1,0,0)","(2023,7,2,0,0)",50.966247
