unit,date_init,date_end,value_replace
00277_ch_00001_mantaro,"(2023,1,1,0,0)","(2023,1,2,0,0)",15.799
00261_ch_00018_callahuanca,"(2023,1,1,0,0)","(2023,1,2,0,0)",40.869
00277_ch_00001_mantaro,"(2023,1,2,0,0)","(2023,1,3,0,0)",15.799
00261_ch_00018_callahuanca,"(2023,1,2,0,0)","(2023,1,3,0,0)",40.869
00277_ch_00001_mantaro,"(2023,1,3,0,0)","(2023,1,4,0,0)",15.799
00261_ch_00018_callahuanca,"(2023,1,3,0,0)","(2023,1,4,0,0)",40.869
01198_ch_00118_charcani_4,"(2023,1,3,7,0)","(2023,1,3,15,0)",33.325
00277_ch_00001_mantaro,"(2023,1,4,0,0)","(2023,1,5,0,0)",15.799
00261_ch_00018_callahuanca,"(2023,1,4,0,0)","(2023,1,5,0,0)",40.869
01191_ch_00109_chimay,"(2023,1,4,7,0)","(2023,1,4,17,0)",50.966
01195_ch_00111_charcani_1,"(2023,1,4,7,0)","(2023,1,4,15,0)",49.143
01195_ch_00111_charcani_1,"(2023,1,4,7,0)","(2023,1,4,15,0)",50.857
00277_ch_00001_mantaro,"(2023,1,5,0,0)","(2023,1,6,0,0)",15.799
00261_ch_00018_callahuanca,"(2023,1,5,0,0)","(2023,1,6,0,0)",40.869
01198_ch_00118_charcani_4,"(2023,1,5,7,0)","(2023,1,5,15,0)",33.253
00277_ch_00001_mantaro,"(2023,1,6,0,0)","(2023,1,7,0,0)",15.799
00261_ch_00018_callahuanca,"(2023,1,6,0,0)","(2023,1,7,0,0)",40.869
01191_ch_00109_chimay,"(2023,1,6,7,0)","(2023,1,6,17,0)",49.034
00277_ch_00001_mantaro,"(2023,1,7,0,0)","(2023,1,8,0,0)",15.799
00261_ch_00018_callahuanca,"(2023,1,7,0,0)","(2023,1,8,0,0)",40.869
01200_ch_00188_charcani_6,"(2023,1,7,7,0)","(2023,1,7,15,0)",100.000
00264_ch_00061_carhuaquero,"(2023,1,7,8,0)","(2023,1,7,11,0)",33.420
00264_ch_00061_carhuaquero,"(2023,1,7,15,0)","(2023,1,7,18,0)",33.292
00277_ch_00001_mantaro,"(2023,1,8,0,0)","(2023,1,9,0,0)",15.799
00261_ch_00018_callahuanca,"(2023,1,8,0,0)","(2023,1,9,0,0)",40.869
01203_ch_00126_machupicchu,"(2023,1,8,5,0)","(2023,1,8,9,0)",10.343
14844_ch_14845_santa_teresa,"(2023,1,8,5,0)","(2023,1,8,17,0)",49.553
00286_ch_00008_restitucion,"(2023,1,8,7,0)","(2023,1,8,17,30)",33.684
00264_ch_00061_carhuaquero,"(2023,1,8,8,0)","(2023,1,8,11,0)",33.287
01203_ch_00126_machupicchu,"(2023,1,8,9,0)","(2023,1,8,13,0)",17.451
01203_ch_00126_machupicchu,"(2023,1,8,13,0)","(2023,1,8,17,0)",10.312
01198_ch_00118_charcani_4,"(2023,1,9,0,0)","(2023,1,10,0,0)",33.253
00277_ch_00001_mantaro,"(2023,1,9,0,0)","(2023,1,10,0,0)",15.799
00261_ch_00018_callahuanca,"(2023,1,9,0,0)","(2023,1,10,0,0)",40.869
01197_ch_00116_charcani_3,"(2023,1,9,7,0)","(2023,1,9,15,0)",50.078
01197_ch_00116_charcani_3,"(2023,1,9,7,0)","(2023,1,9,15,0)",49.922
01198_ch_00118_charcani_4,"(2023,1,10,0,0)","(2023,1,11,0,0)",33.253
00277_ch_00001_mantaro,"(2023,1,10,0,0)","(2023,1,11,0,0)",15.799
00261_ch_00018_callahuanca,"(2023,1,10,0,0)","(2023,1,11,0,0)",40.869
01197_ch_00116_charcani_3,"(2023,1,10,7,0)","(2023,1,10,15,0)",50.078
01197_ch_00116_charcani_3,"(2023,1,10,7,0)","(2023,1,10,15,0)",49.922
18186_ch_18187_la_virgen,"(2023,1,10,8,0)","(2023,1,11,0,0)",33.174
01198_ch_00118_charcani_4,"(2023,1,11,0,0)","(2023,1,12,0,0)",33.253
00277_ch_00001_mantaro,"(2023,1,11,0,0)","(2023,1,12,0,0)",15.799
00261_ch_00018_callahuanca,"(2023,1,11,0,0)","(2023,1,12,0,0)",40.869
18186_ch_18187_la_virgen,"(2023,1,11,0,0)","(2023,1,11,18,0)",33.174
01196_ch_00113_charcani_2,"(2023,1,11,7,0)","(2023,1,11,15,0)",31.761
01196_ch_00113_charcani_2,"(2023,1,11,7,0)","(2023,1,11,15,0)",36.127
01198_ch_00118_charcani_4,"(2023,1,12,0,0)","(2023,1,13,0,0)",33.253
00277_ch_00001_mantaro,"(2023,1,12,0,0)","(2023,1,13,0,0)",15.799
00261_ch_00018_callahuanca,"(2023,1,12,0,0)","(2023,1,13,0,0)",40.869
01196_ch_00113_charcani_2,"(2023,1,12,7,0)","(2023,1,12,15,0)",32.112
00276_ch_00039_malpaso,"(2023,1,12,8,0)","(2023,1,12,16,0)",25.555
01198_ch_00118_charcani_4,"(2023,1,13,0,0)","(2023,1,14,0,0)",33.253
00277_ch_00001_mantaro,"(2023,1,13,0,0)","(2023,1,14,0,0)",15.799
00261_ch_00018_callahuanca,"(2023,1,13,0,0)","(2023,1,14,0,0)",40.869
