,item,codigo_seg,empresa,ubicacion,equipo,codigo,fecha_inic,fecha_fin,descripcion,mw_indispo,indispo,tipo_mantto,programacion
92,93,C126642023053012247721A,AGRO INDUSTRIAL PARAMONGA,PARAMONGA,TV-01,12664,2024-06-30 00:00:00,2024-07-01 00:00:00,"LIMPIEZA E INSPECCIÓN DE LA CALDERA CBS Y MANTENIMIENTO A SUS PERIFÉRICOS (CONDUCTORES, VENTILADORES, BOMBAS, MOTORES, ETC)",13.45,F/S,NO,MANTENIMIENTO PREVENTIVO
163,164,C134172023053012245964A,AGROAURORA S.A.C.,CT MAPLE ETANOL,CENTRAL,13417,2024-06-18 00:00:00,2024-06-19 00:00:00,CENTRAL TERMOELECTRICA FUERA DE SERVICIO POR REQUERMIENTOS DE FÁBRICA.,18.0,F/S,NO,OTROS
250,251,C198652023053012245021A,AGROINDUSTRIAS SAN JACINTO S.A.A.,SAN JACINTO,CENTRAL,19865,2024-05-31 00:00:00,2024-06-01 00:00:00,MANTENIMIENTO PARADA ANUAL,8.2,F/S,NO,MANTENIMIENTO PREVENTIVO
251,252,C006982022113010046198A,ANDEAN POWER S.A.C.,CALLAHUANCA - CARHUAC,L-6718,698,2023-09-28 07:00:00,2023-09-28 18:00:00,LIMIPIEZA DE CADENA DE AISLADORES DE LT L6718.,20.0,F/S,NO,MANTENIMIENTO PREVENTIVO
253,254,C015372023053012247648A,ANDEAN POWER S.A.C.,CALLAHUANCA (EDG),CL6718,1537,2024-06-02 07:00:00,2024-06-02 17:00:00,INSPECCIÓN Y MANTENIMIENTO DE AISLAMIENTO DE EQUIPOS DE LA CELDA CL6718 EN SE CALLAHUANCA.,20.0,F/S,NO,MANTENIMIENTO PREVENTIVO
255,256,C189662023053012244419A,ANDEAN POWER S.A.C.,CARHUAC,CENTRAL,18966,2024-06-02 07:00:00,2024-06-02 17:00:00,"INSPECCIÓN DE BOCATOMA, CÁMARA DE CARGA, MANTENIMIENTO DE CELDAS DE BARRA DE MT Y TABLEROS DE SS. AA. DE CH CARHUAC.",20.0,F/S,NO,MANTENIMIENTO PREVENTIVO
257,258,C189672023053012247462A,ANDEAN POWER S.A.C.,CARHUAC,G1,18967,2023-09-25 00:00:00,2023-09-26 00:00:00,"INSPECCIÓN DE TURBINA, GENERADOR Y SISTEMAS AUXILARES GRUPO G1.",10.0,F/S,NO,MANTENIMIENTO PREVENTIVO
259,260,C189682023053012247462A,ANDEAN POWER S.A.C.,CARHUAC,G2,18968,2023-09-27 00:00:00,2023-09-28 00:00:00,"INSPECCIÓN DE TURBINA, GENERADOR Y SISTEMAS AUXILARES GRUPO G2.",10.0,F/S,NO,MANTENIMIENTO PREVENTIVO
260,261,C189692022113010042184A,ANDEAN POWER S.A.C.,SE CARHUAC,SS.EE.,18969,2023-09-28 07:00:00,2023-09-28 18:00:00,MANTENIMIENTO DE AISLAMIENTO DE EQUIPOS DE PATIO DE SE CARCHUAC.,20.0,F/S,NO,MANTENIMIENTO PREVENTIVO
261,262,C213612023053012244419A,ANGLO AMERICAN QUELLAVECO S.A.,MOQUEGUA,CL-2067,21361,2024-03-14 08:00:00,2024-03-14 16:00:00,MP 1A LIMPIEZA AISLAMIENTO VYT OMS0866,0.0,F/S,NO,MANTENIMIENTO PREVENTIVO
262,263,C213622023053012245892A,ANGLO AMERICAN QUELLAVECO S.A.,MOQUEGUA,CL-2068,21362,2024-03-13 08:00:00,2024-03-13 16:00:00,MP 1A LIMPIEZA AISLAMIENTO VYT OMS0872,0.0,F/S,NO,MANTENIMIENTO PREVENTIVO
