,item,codigo_seg,empresa,ubicacion,equipo,codigo,fecha_inic,fecha_fin,descripcion,mw_indispo,indispo,tipo_mantto,programacion
0,1,C126642022113010045150A,AGRO INDUSTRIAL PARAMONGA,PARAMONGA,TV-01,12664,2023-07-01 00:00:00,2023-07-01 20:00:00,"LIMPIEZA E INSPECCIÓN DE LA CALDERA CBS Y MANTENIMIENTO A SUS PERIFÉRICOS (CONDUCTORES, VENTILADORES, BOMBAS, MOTORES, ETC)",13.45,F/S,NO,MANTENIMIENTO PREVENTIVO
1,2,C126642023053012247462A,AGRO INDUSTRIAL PARAMONGA,PARAMONGA,TV-01,12664,2023-07-29 10:00:00,2023-07-30 00:00:00,"LIMPIEZA E INSPECCIÓN DE LA CALDERA CBS Y MANTENIMIENTO A SUS PERIFÉRICOS (CONDUCTORES, VENTILADORES, BOMBAS, MOTORES, ETC)",13.45,F/S,NO,MANTENIMIENTO PREVENTIVO
2,3,C126642023053012247462A,AGRO INDUSTRIAL PARAMONGA,PARAMONGA,TV-01,12664,2023-07-30 00:00:00,2023-07-31 00:00:00,"LIMPIEZA E INSPECCIÓN DE LA CALDERA CBS Y MANTENIMIENTO A SUS PERIFÉRICOS (CONDUCTORES, VENTILADORES, BOMBAS, MOTORES, ETC)",13.45,F/S,NO,MANTENIMIENTO PREVENTIVO
3,4,C126642023053012247462A,AGRO INDUSTRIAL PARAMONGA,PARAMONGA,TV-01,12664,2023-07-31 00:00:00,2023-08-01 00:00:00,"LIMPIEZA E INSPECCIÓN DE LA CALDERA CBS Y MANTENIMIENTO A SUS PERIFÉRICOS (CONDUCTORES, VENTILADORES, BOMBAS, MOTORES, ETC)",13.45,F/S,NO,MANTENIMIENTO PREVENTIVO
4,5,C126642023053012247462A,AGRO INDUSTRIAL PARAMONGA,PARAMONGA,TV-01,12664,2023-08-01 00:00:00,2023-08-01 20:00:00,"LIMPIEZA E INSPECCIÓN DE LA CALDERA CBS Y MANTENIMIENTO A SUS PERIFÉRICOS (CONDUCTORES, VENTILADORES, BOMBAS, MOTORES, ETC)",13.45,F/S,NO,MANTENIMIENTO PREVENTIVO
5,6,C126642023053012245021A,AGRO INDUSTRIAL PARAMONGA,PARAMONGA,TV-01,12664,2023-08-30 14:00:00,2023-08-31 00:00:00,"LIMPIEZA E INSPECCIÓN DE LA CALDERA CBS Y MANTENIMIENTO A SUS PERIFÉRICOS (CONDUCTORES, VENTILADORES, BOMBAS, MOTORES, ETC)",13.45,F/S,NO,MANTENIMIENTO PREVENTIVO
6,7,C126642023053012245021A,AGRO INDUSTRIAL PARAMONGA,PARAMONGA,TV-01,12664,2023-08-31 00:00:00,2023-09-01 00:00:00,"LIMPIEZA E INSPECCIÓN DE LA CALDERA CBS Y MANTENIMIENTO A SUS PERIFÉRICOS (CONDUCTORES, VENTILADORES, BOMBAS, MOTORES, ETC)",13.45,F/S,NO,MANTENIMIENTO PREVENTIVO
7,8,C126642023053012245021A,AGRO INDUSTRIAL PARAMONGA,PARAMONGA,TV-01,12664,2023-09-01 00:00:00,2023-09-01 20:00:00,"LIMPIEZA E INSPECCIÓN DE LA CALDERA CBS Y MANTENIMIENTO A SUS PERIFÉRICOS (CONDUCTORES, VENTILADORES, BOMBAS, MOTORES, ETC)",13.45,F/S,NO,MANTENIMIENTO PREVENTIVO
8,9,C126642023053012241140A,AGRO INDUSTRIAL PARAMONGA,PARAMONGA,TV-01,12664,2023-09-30 14:00:00,2023-10-01 00:00:00,"LIMPIEZA E INSPECCIÓN DE LA CALDERA CBS Y MANTENIMIENTO A SUS PERIFÉRICOS (CONDUCTORES, VENTILADORES, BOMBAS, MOTORES, ETC)",13.45,F/S,NO,MANTENIMIENTO PREVENTIVO
9,10,C126642023053012241140A,AGRO INDUSTRIAL PARAMONGA,PARAMONGA,TV-01,12664,2023-10-01 00:00:00,2023-10-02 00:00:00,"LIMPIEZA E INSPECCIÓN DE LA CALDERA CBS Y MANTENIMIENTO A SUS PERIFÉRICOS (CONDUCTORES, VENTILADORES, BOMBAS, MOTORES, ETC)",13.45,F/S,NO,MANTENIMIENTO PREVENTIVO
