unit,date_init,date_end,value_replace
unit5,"(2024,2,14,21,30)","(2024,2,15,1,30)",97
unit2,"(2024,9,3,17,30)","(2024,9,4,2,30)",88
unit8,"(2023,12,25,19,30)","(2023,12,26,14,30)",84
unit7,"(2022,1,17,1,30)","(2022,1,18,1,30)",60
unit5,"(2023,8,13,10,30)","(2023,8,14,3,30)",52
unit5,"(2024,8,7,0,30)","(2024,8,8,6,30)",49
unit6,"(2024,2,4,10,30)","(2024,2,5,9,30)",80
unit6,"(2022,5,22,4,30)","(2022,5,23,20,30)",1
unit11,"(2022,9,1,8,30)","(2022,9,2,21,30)",55
unit4,"(2024,12,16,13,30)","(2024,12,17,19,30)",32
unit1,"(2022,7,22,6,30)","(2022,7,23,16,30)",56
unit13,"(2023,10,9,1,30)","(2023,10,10,5,30)",83
unit6,"(2022,9,13,18,30)","(2022,9,14,2,30)",47
unit11,"(2023,2,1,21,30)","(2023,2,2,0,30)",12
unit12,"(2022,3,6,16,30)","(2022,3,7,10,30)",86
unit3,"(2022,9,20,2,30)","(2022,9,21,21,30)",52
unit4,"(2024,5,25,13,30)","(2024,5,26,1,30)",7
unit2,"(2022,5,2,9,30)","(2022,5,3,18,30)",94
unit11,"(2023,4,23,3,30)","(2023,4,24,3,30)",53
unit13,"(2022,11,17,11,30)","(2022,11,18,6,30)",63
unit1,"(2024,10,22,2,30)","(2024,10,23,21,30)",40
unit7,"(2022,3,18,18,30)","(2022,3,19,7,30)",46
unit14,"(2023,7,22,10,30)","(2023,7,23,4,30)",27
unit1,"(2023,7,16,19,30)","(2023,7,17,19,30)",61
unit3,"(2022,5,12,1,30)","(2022,5,13,7,30)",32
unit8,"(2024,10,22,20,30)","(2024,10,23,10,30)",88
unit6,"(2023,3,19,14,30)","(2023,3,20,19,30)",35
unit7,"(2024,8,2,5,30)","(2024,8,3,8,30)",93
unit14,"(2023,3,8,19,30)","(2023,3,9,4,30)",57
unit8,"(2022,2,1,23,30)","(2022,2,2,21,30)",22
unit10,"(2022,2,7,12,30)","(2022,2,8,21,30)",3
