,unit,date_init,date_end,value_replace,periods_change,date_init_p,date_end_p
0,Platanal,"(2023,9,24,8,0)","(2023,9,24,16,0)",100,16,"(2023,9,24,17)","(2023,9,24,33)"
1,Platanal,"(2024,2,16,5,0)","(2024,2,16,19,0)",100,28,"(2024,2,16,11)","(2024,2,16,39)"
2,Platanal,"(2024,2,23,5,0)","(2024,2,23,19,0)",100,28,"(2024,2,23,11)","(2024,2,23,39)"
3,Platanal,"(2024,3,18,5,0)","(2024,3,18,19,0)",100,28,"(2024,3,18,11)","(2024,3,18,39)"
4,Platanal,"(2024,3,22,5,0)","(2024,3,22,19,0)",100,28,"(2024,3,22,11)","(2024,3,22,39)"
5,Platanal,"(2023,12,15,23,0)","(2023,12,16,0,0)",50.0103613,2,"(2023,12,15,47)","(2023,12,16,1)"
6,Platanal,"(2023,12,16,0,0)","(2023,12,16,17,0)",50.0103613,34,"(2023,12,16,1)","(2023,12,16,35)"
7,Platanal,"(2024,2,16,5,0)","(2024,2,16,19,0)",50.0103613,28,"(2024,2,16,11)","(2024,2,16,39)"
8,Platanal,"(2024,2,23,5,0)","(2024,2,23,19,0)",50.0103613,28,"(2024,2,23,11)","(2024,2,23,39)"
9,Platanal,"(2024,6,15,0,0)","(2024,6,16,0,0)",50.0103613,48,"(2024,6,15,1)","(2024,6,16,1)"
10,Platanal,"(2024,6,16,0,0)","(2024,6,17,0,0)",50.0103613,48,"(2024,6,16,1)","(2024,6,17,1)"
11,Platanal,"(2024,6,17,0,0)","(2024,6,18,0,0)",50.0103613,48,"(2024,6,17,1)","(2024,6,18,1)"
12,Platanal,"(2024,6,18,0,0)","(2024,6,19,0,0)",50.0103613,48,"(2024,6,18,1)","(2024,6,19,1)"
13,Platanal,"(2024,6,19,0,0)","(2024,6,19,18,0)",50.0103613,36,"(2024,6,19,1)","(2024,6,19,37)"
14,Platanal,"(2023,12,16,23,0)","(2023,12,17,0,0)",49.9896387,2,"(2023,12,16,47)","(2023,12,17,1)"
15,Platanal,"(2023,12,17,0,0)","(2023,12,17,17,0)",49.9896387,34,"(2023,12,17,1)","(2023,12,17,35)"
16,Platanal,"(2024,3,18,5,0)","(2024,3,18,19,0)",49.9896387,28,"(2024,3,18,11)","(2024,3,18,39)"
17,Platanal,"(2024,3,22,5,0)","(2024,3,22,19,0)",49.9896387,28,"(2024,3,22,11)","(2024,3,22,39)"
18,Platanal,"(2024,6,20,0,0)","(2024,6,21,0,0)",49.9896387,48,"(2024,6,20,1)","(2024,6,21,1)"
19,Platanal,"(2024,6,21,0,0)","(2024,6,22,0,0)",49.9896387,48,"(2024,6,21,1)","(2024,6,22,1)"
20,Platanal,"(2024,6,22,0,0)","(2024,6,23,0,0)",49.9896387,48,"(2024,6,22,1)","(2024,6,23,1)"
21,Platanal,"(2024,6,23,0,0)","(2024,6,24,0,0)",49.9896387,48,"(2024,6,23,1)","(2024,6,24,1)"
22,Platanal,"(2024,6,24,0,0)","(2024,6,24,18,0)",49.9896387,36,"(2024,6,24,1)","(2024,6,24,37)"
23,Maranon,"(2023,8,6,6,0)","(2023,8,6,18,0)",100,24,"(2023,8,6,13)","(2023,8,6,37)"
24,Maranon,"(2024,4,7,6,0)","(2024,4,7,18,0)",100,24,"(2024,4,7,13)","(2024,4,7,37)"
25,Maranon,"(2023,8,4,6,0)","(2023,8,4,18,0)",33.23795181,24,"(2023,8,4,13)","(2023,8,4,37)"
26,Maranon,"(2023,9,18,6,0)","(2023,9,19,0,0)",33.23795181,36,"(2023,9,18,13)","(2023,9,19,1)"
27,Maranon,"(2023,9,19,0,0)","(2023,9,20,0,0)",33.23795181,48,"(2023,9,19,1)","(2023,9,20,1)"
28,Maranon,"(2023,9,20,0,0)","(2023,9,21,0,0)",33.23795181,48,"(2023,9,20,1)","(2023,9,21,1)"
29,Maranon,"(2023,9,21,0,0)","(2023,9,22,0,0)",33.23795181,48,"(2023,9,21,1)","(2023,9,22,1)"
30,Maranon,"(2023,9,22,0,0)","(2023,9,23,0,0)",33.23795181,48,"(2023,9,22,1)","(2023,9,23,1)"
31,Maranon,"(2023,9,23,0,0)","(2023,9,24,0,0)",33.23795181,48,"(2023,9,23,1)","(2023,9,24,1)"
32,Maranon,"(2023,9,24,0,0)","(2023,9,25,0,0)",33.23795181,48,"(2023,9,24,1)","(2023,9,25,1)"
33,Maranon,"(2023,9,25,0,0)","(2023,9,26,0,0)",33.23795181,48,"(2023,9,25,1)","(2023,9,26,1)"
34,Maranon,"(2023,9,26,0,0)","(2023,9,27,0,0)",33.23795181,48,"(2023,9,26,1)","(2023,9,27,1)"
35,Maranon,"(2023,9,27,0,0)","(2023,9,27,18,0)",33.23795181,36,"(2023,9,27,1)","(2023,9,27,37)"
36,Maranon,"(2023,12,9,6,0)","(2023,12,9,18,0)",33.23795181,24,"(2023,12,9,13)","(2023,12,9,37)"
37,Maranon,"(2024,1,1,0,0)","(2024,1,2,0,0)",33.23795181,48,"(2024,1,1,1)","(2024,1,2,1)"
38,Maranon,"(2024,1,2,0,0)","(2024,1,3,0,0)",33.23795181,48,"(2024,1,2,1)","(2024,1,3,1)"
39,Maranon,"(2024,1,3,0,0)","(2024,1,4,0,0)",33.23795181,48,"(2024,1,3,1)","(2024,1,4,1)"
40,Maranon,"(2024,1,4,0,0)","(2024,1,5,0,0)",33.23795181,48,"(2024,1,4,1)","(2024,1,5,1)"
41,Maranon,"(2024,1,5,0,0)","(2024,1,6,0,0)",33.23795181,48,"(2024,1,5,1)","(2024,1,6,1)"
